name,num_fights,wins,W_KO,W_SUB,W_DEC,losses,L_KO,L_SUB,L_DEC,average_head_hits_to_ko,average_head_hits_to_chin,average_takedowns_to_sub,average_takedowns_to_subed,average_takedowns,average_knockdowns,average_knocked_down,average_taken_down
Sean O'Malley,12,10,6,0,4,2,1,0,1,46.33,5.0,0,0,0.3,0.6,0.0,8.5
Merab Dvalishvili,13,11,1,0,10,2,1,0,1,63.0,25.0,0,0,7.73,0.09,0.5,2.5
Alexa Grasso,13,8,0,2,6,5,0,1,4,0,0,3.0,2.0,0.75,0.12,0.0,6.6
Valentina Shevchenko,17,13,4,2,7,4,0,1,3,29.75,0,28.5,0.0,4.38,0.08,0.25,3.0
Brian Ortega,12,8,3,4,1,4,2,0,2,37.33,131.0,3.0,0,1.5,0.62,0.5,3.0
Diego Lopes,6,5,2,1,2,1,0,0,1,16.0,0,2.0,0,0.4,0.6,0.0,5.0
Daniel Zellhuber,5,3,0,1,2,2,0,0,2,0,0,0.0,0,0.0,0.67,0.0,0.5
Esteban Ribovics,4,3,1,0,2,1,0,0,1,3.0,0,0,0,0.67,0.67,1.0,14.0
Ronaldo Rodriguez,2,2,0,1,1,0,0,0,0,0,0,1.0,0,0.5,0.0,0,0
Ode Osbourne,10,4,2,0,2,6,2,3,1,6.0,10.5,0,1.33,1.25,0.75,0.33,1.0
Irene Aldana,14,8,3,1,4,6,0,0,6,21.67,0,2.0,0,0.25,0.38,0.17,2.67
Norma Dumont,10,8,0,0,8,2,1,0,1,0,6.0,0,0,2.12,0.25,1.0,3.5
Manuel Torres,4,3,2,1,0,1,1,0,0,15.0,25.0,2.0,0,0.67,0.67,2.0,1.0
Ignacio Bahamondes,7,5,3,1,1,2,0,0,2,30.67,0,0.0,0,0.0,0.8,0.0,2.0
Yazmin Jauregui,5,3,1,0,2,2,1,1,0,54.0,17.0,0,0.0,0.0,0.67,1.5,0.0
Ketlen Souza,3,2,0,1,1,1,0,1,0,0,0,1.0,1.0,0.5,0.5,0.0,3.0
Edgar Chairez,3,1,0,1,0,2,0,0,2,0,0,0.0,0,0.0,1.0,0.0,3.5
Joshua Van,5,4,1,0,3,1,1,0,0,63.0,44.0,0,0,1.75,0.25,1.0,3.0
Raul Rosas Jr.,5,4,1,2,1,1,0,0,1,17.0,0,6.0,0,3.0,0.25,0.0,1.0
Aoriqileng,7,3,1,0,2,4,1,0,3,28.0,5.0,0,0,2.33,0.67,0.75,3.75
Gilbert Burns,23,15,3,5,7,8,3,0,5,19.67,40.67,8.2,0,2.73,0.27,1.0,2.38
Sean Brady,8,7,0,3,4,1,1,0,0,0,64.0,8.67,0,3.71,0.14,0.0,2.0
Jessica Andrade,28,17,6,3,8,11,4,4,3,35.17,25.0,13.33,1.5,2.35,0.41,0.36,1.91
Natalia Silva,6,6,2,0,4,0,0,0,0,21.0,0,0,0,0.33,0.33,0,0
